words,pos,chunk,labels,sentence_id
This,_,O,O,0
paper,_,O,O,0
analyzes,_,O,O,0
the,_,O,O,0
determinants,_,O,O,0
underlying,_,O,O,0
the,_,O,O,0
internalization,_,O,O,0
of,_,O,O,0
proactive,_,O,B-THE,0
environmental,_,O,I-THE,0
management,_,O,I-THE,0
proposed,_,O,O,0
by,_,O,O,0
certifiable,_,O,B-THE,0
environmental,_,O,I-THE,0
management,_,O,I-THE,0
systems,_,O,I-THE,0
(,_,O,O,0
EMSs,_,O,I-THE,0
),_,O,O,0
such,_,O,O,0
as,_,O,O,0
those,_,O,O,0
set,_,O,O,0
out,_,O,O,0
in,_,O,O,0
ISO,_,O,O,0
14001,_,O,O,0
and,_,O,O,0
the,_,O,O,0
European,_,O,O,0
Management,_,O,O,0
and,_,O,O,0
Auditing,_,O,O,0
Scheme,_,O,O,0
(,_,O,O,0
EMAS,_,O,O,0
),_,O,O,0
.,_,O,O,0
Using,_,O,O,1
a,_,O,O,1
study,_,O,O,1
based,_,O,O,1
on,_,O,O,1
232,_,O,O,1
usable,_,O,O,1
questionnaires,_,O,O,1
from,_,O,O,1
EMAS-registered,_,O,O,1
organizations,_,O,O,1
",",_,O,O,1
we,_,O,O,1
explored,_,O,O,1
the,_,O,O,1
influence,_,O,O,1
of,_,O,O,1
institutional,_,O,B-THE,1
pressures,_,O,I-THE,1
from,_,O,O,1
different,_,O,O,1
stakeholders,_,O,O,1
and,_,O,O,1
the,_,O,O,1
role,_,O,O,1
of,_,O,O,1
corporate,_,O,B-THE,1
strategy,_,O,I-THE,1
in,_,O,O,1
the,_,O,O,1
“,_,O,O,1
substantial,_,O,O,1
”,_,O,O,1
versus,_,O,O,1
“,_,O,O,1
symbolic,_,O,O,1
”,_,O,O,1
integration,_,O,O,1
of,_,O,O,1
environmental,_,O,B-THE,1
practices,_,O,I-THE,1
.,_,O,O,1
The,_,O,O,2
results,_,O,O,2
highlighted,_,O,O,2
that,_,O,O,2
although,_,O,O,2
institutional,_,O,O,2
pressures,_,O,O,2
generally,_,O,O,2
strengthen,_,O,O,2
the,_,O,O,2
internalization,_,O,O,2
of,_,O,O,2
proactive,_,O,O,2
environmental,_,O,O,2
practices,_,O,O,2
",",_,O,O,2
the,_,O,O,2
influence,_,O,B-THE,2
of,_,O,I-THE,2
stakeholders,_,O,B-THE,2
can,_,O,O,2
either,_,O,O,2
support,_,O,O,2
the,_,O,O,2
integration,_,O,O,2
of,_,O,O,2
these,_,O,O,2
practices,_,O,O,2
or,_,O,O,2
encourage,_,O,O,2
their,_,O,O,2
superficial,_,O,O,2
adoption,_,O,O,2
.,_,O,O,2
For,_,O,O,3
example,_,O,O,3
",",_,O,O,3
while,_,O,O,3
pressure,_,O,O,3
from,_,O,O,3
suppliers,_,O,O,3
and,_,O,O,3
shareholders,_,O,O,3
contribute,_,O,O,3
to,_,O,O,3
corporate,_,O,B-THE,3
greening,_,O,I-THE,3
",",_,O,O,3
pressure,_,O,O,3
from,_,O,O,3
customers,_,O,O,3
and,_,O,O,3
industrial,_,O,O,3
associations,_,O,O,3
tend,_,O,O,3
to,_,O,O,3
encourage,_,O,O,3
greenwashing,_,O,O,3
(,_,O,O,3
i.e,_,O,O,3
.,_,O,O,3
",",_,O,O,3
the,_,O,O,3
superficial,_,O,O,3
and,_,O,O,3
misleading,_,O,O,3
adoption,_,O,O,3
of,_,O,O,3
environmental,_,O,O,3
practices,_,O,O,3
),_,O,O,3
.,_,O,O,3
Product,_,O,O,4
quality-oriented,_,O,O,4
strategies,_,O,O,4
also,_,O,O,4
positively,_,O,O,4
influence,_,O,O,4
EMS,_,O,B-THE,4
internalization,_,O,I-THE,4
.,_,O,O,4
The,_,O,O,5
paper,_,O,O,5
sheds,_,O,O,5
light,_,O,O,5
on,_,O,O,5
the,_,O,O,5
institutional,_,O,B-THE,5
complexity,_,O,I-THE,5
underlying,_,O,O,5
the,_,O,O,5
substantial,_,O,O,5
versus,_,O,O,5
symbolic,_,O,B-THE,5
implementation,_,O,I-THE,5
of,_,O,O,5
environmental,_,O,O,5
practices,_,O,O,5
",",_,O,O,5
and,_,O,O,5
questions,_,O,O,5
the,_,O,O,5
dominant,_,O,O,5
isomorphic,_,O,B-THE,5
view,_,O,I-THE,5
of,_,O,O,5
EMS,_,O,B-THE,5
adoption,_,O,I-THE,5
.,_,O,O,5
The,_,O,O,6
paper,_,O,O,6
also,_,O,O,6
bridges,_,O,O,6
the,_,O,O,6
gap,_,O,O,6
between,_,O,O,6
complementary,_,O,O,6
approaches,_,O,O,6
on,_,O,O,6
corporate,_,O,B-THE,6
greening,_,O,I-THE,6
",",_,O,O,6
notably,_,O,O,6
neo-institutional,_,O,B-THE,6
and,_,O,I-THE,6
stakeholder,_,O,I-THE,6
theories,_,O,I-THE,6
.,_,O,O,6
©,_,O,O,6
Springer,_,O,O,6
Science,_,O,O,6
=+,_,O,O,6
Business,_,O,O,6
Media,_,O,O,6
